,name,resource,category,homepage,description,projectrank,show,labels,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,projectrank_placing,trending,pypi_id,pypi_url,pypi_monthly_downloads,conda_id,updated_github_id,conda_url,gitlab_id,gitlab_url
67,Crypto Trading Bot,,bots-frameworks,https://github.com/Haehnchen/crypto-trading-bot,"Cryptocurrency trading bot in javascript for Bitfinex, Bitmex, Binance, Bybit ... (public edition).",16,False,['nodejs'],Haehnchen/crypto-trading-bot,,https://github.com/Haehnchen/crypto-trading-bot,MIT,2018-09-25 15:48:11,2023-01-24 14:14:22,2023-01-09 18:34:47,906.0,,884.0,179.0,133.0,102.0,100.0,2962.0,,,,,,,,16.0,,,3.0,,,,,,,,,
68,binance-java-api,,libraries-api,https://github.com/binance-exchange/binance-java-api,"binance-java-api is a lightweight Java library for the Binance API, supporting synchronous and asynchronous requests,..",16,True,['java'],binance-exchange/binance-java-api,,https://github.com/binance-exchange/binance-java-api,MIT,2017-10-20 11:23:10,2023-10-27 07:16:28,2023-10-27 07:16:23,209.0,,628.0,99.0,139.0,114.0,184.0,836.0,,,,,,,,44.0,,,3.0,,,,,,,,,
69,crypto-exchanges-gateway,,libraries-api,https://github.com/aloysius-pgast/crypto-exchanges-gateway,Your gateway to the world of crypto !.,16,False,['nodejs'],aloysius-pgast/crypto-exchanges-gateway,,https://github.com/aloysius-pgast/crypto-exchanges-gateway,,2017-09-15 12:25:00,2024-01-29 17:24:14,2023-11-11 22:18:19,582.0,12.0,145.0,47.0,161.0,1.0,42.0,577.0,2023-11-11 22:34:16,1.13.2,,,44.0,,,4.0,,,3.0,,,,,,,,,
70,Coinnect,,libraries-api,https://github.com/hugues31/coinnect,Coinnect is a Rust library aiming to provide a complete access to main crypto currencies exchanges via REST API.,15,False,['rust'],hugues31/coinnect,,https://github.com/hugues31/coinnect,MIT,2017-02-14 23:22:33,2021-11-30 20:49:56,2021-11-30 20:49:56,220.0,,41.0,15.0,50.0,6.0,21.0,148.0,2018-03-25 17:49:34,0.5.10,,,13.0,15.0,15.0,12.0,,,3.0,,,,,,,,,
71,ftx-api,,libraries-api,https://github.com/tiagosiebler/ftx-api,"Node.js connector for the FTX.com & FTX.us APIs and WebSockets, with TypeScript & browser support.",15,False,['nodejs'],tiagosiebler/ftx-api,,https://github.com/tiagosiebler/ftx-api,MIT,2021-03-14 12:57:46,2023-03-14 15:33:38,2022-11-29 09:32:49,152.0,,48.0,2.0,67.0,1.0,33.0,124.0,2021-05-07 19:50:59,1.0.9,,,4.0,112.0,112.0,14.0,,,3.0,,,,,,,,,
72,Node.js & Typescript Bitget API SDK,,libraries-api,https://github.com/tiagosiebler/bitget-api,"Node.js SDK for the Bitget APIs and WebSockets, with TypeScript & browser support.",15,False,['nodejs'],tiagosiebler/bitget-api,bitget-api,https://github.com/tiagosiebler/bitget-api,MIT,2022-10-09 22:00:11,2023-12-05 10:19:42,2023-12-05 10:19:38,91.0,29.0,19.0,3.0,22.0,1.0,8.0,32.0,,,,2216.0,,31.0,31.0,7.0,https://www.npmjs.com/package/bitget-api,2216.0,3.0,,,,,,,,,
73,Tulip Indicators,,ta,https://github.com/TulipCharts/tulipindicators,Technical Analysis Indicator Function Library in C.,14,True,['c'],TulipCharts/tulipindicators,,https://github.com/TulipCharts/tulipindicators,LGPL-3.0,2016-12-01 04:11:05,2024-01-08 22:07:11,2024-01-08 22:07:11,56.0,1.0,149.0,54.0,53.0,32.0,41.0,781.0,2022-01-18 01:53:32,0.9.1,,,2.0,,,4.0,,,3.0,,,,,,,,,
74,Techan,,ta,https://github.com/sdcoffey/techan,Technical Analysis Library for Golang.,14,False,['go'],sdcoffey/techan,,https://github.com/sdcoffey/techan,MIT,2017-03-08 03:04:08,2023-09-13 21:16:18,2021-11-17 16:09:20,165.0,,137.0,53.0,24.0,14.0,19.0,772.0,2018-04-12 18:41:52,0.3.0,,,4.0,,,9.0,,,3.0,-1.0,,,,,,,,
75,Qt Bitcoin Trader,,bots-frameworks,https://github.com/JulyIghor/QtBitcoinTrader,Secure multi crypto exchange trading client.,14,False,['cplusplus'],JulyIghor/QtBitcoinTrader,,https://github.com/JulyIghor/QtBitcoinTrader,,2013-05-14 21:16:29,2023-12-07 06:48:06,2023-12-07 06:47:56,317.0,1.0,355.0,104.0,41.0,51.0,192.0,694.0,2023-05-25 21:38:13,1.42.21,94.0,0.0,41.0,,,11.0,,,3.0,,,,,,,,,
76,binance-api-node,,libraries-api,https://github.com/binance-exchange/binance-api-node,A complete and heavily tested API wrapper for the Binance API.,14,False,['nodejs'],binance-exchange/binance-api-node,,https://github.com/binance-exchange/binance-api-node,,2017-11-06 08:42:59,2023-10-27 07:10:40,2023-10-27 06:14:52,506.0,,169.0,44.0,26.0,,,570.0,2018-03-09 22:50:04,0.7.1,,,4.0,,,105.0,,,3.0,,,,,,,,,
